id,value
606,Allaktivitetesområde Vrigstad
607,Allaktvitetsområde Vrigstad
608,Klas Frisk Svensson
609,Kyrkoherde
610,Sävsjö Pastorat
611,Surfplatta
612,Ipad
613,händer
614,Surftplatta
615,iPad
616,mobiltelefon
617,surfplatta
618,Äldre man
619,Yxan 1
620,Midsommar
621,midsommar
622,sommarbukett
623,Stadshotellet
624,Susanne Karlberg
625,Marie-Louise Strömqvist
626,Helena Gill
627,Helena Gill
628,Emilorosa
629,Hjälmseryd
630,Hjälmseryd
631,Emilorsa
632,Brygga
633,Himmel
634,Sommar
635,Cykeltrim
636,Karta
637,Khaled Hamooda
638,Nål & tråd
639,Nål och tråd
640,motorsport
641,speedway
642,Martin Trofast
643,Vetlanda räddningstjänst
644,Perennparken
645,Grillkväll
646,Skolstart
647,gymnasium
648,Speedway
649,Vetlanda Speedway
650,Seriestart
651,Bauhausligan
652,Stefan Lidström
653,Paddelcenter
654,sturevallen
655,paddelcenter
656,slottsruin
657,eksjöhovgårds slottsruin
658,polis
659,polisbil
660,natt
661,kväll
662,jan holmqvist
663,jan holmkvist
664,kommunchef
665,kommundirektör
666,sävsjö
667,allaktivitetsplan
668,film
669,Lägerdag
670,UV-scout
671,Scout
672,Läger
673,scoutläger
674,tälja
675,kniv
676,scout
677,Bernth Simonsson
678,lägerdag
679,laga mat
680,mat över öppen eld
681,köttbullar
682,scouter
683,scouting
684,eld
685,vallsjöskolan
686,skola
687,grundskola
688,grönsaker
689,morötter
690,gunga
691,kompisgunga
692,gunga för två
693,sävsjö pastorat
694,församlingshem
695,svenska kyrkan
696,guds kraft
697,kyrka
698,kyrkolokal
699,församling
700,möteslokal
701,fontän
702,parken kronan
703,sensommar
704,sävsjö kristna skola
705,sävsjö kristna skola
706,kristna skolan
707,b-huset
708,ingång som inte används
709,bhuset
710,a-huset
711,a huset
712,b huset
713,modulhuset
714,ahuset
715,matsal och expedition
716,förskoleklass
717,huvudbyggnad
718,skolans entré
719,höglandskyrkan
720,frikyrka
721,kyrkobyggnad
722,efk
723,do it
724,dansgrupp
725,återvinningsstation
726,pappersförpackningar
727,fti
728,papper
729,insamling
730,förpackningar
731,glas
732,sopor
733,kartong
734,sopkärl
735,nya lekparken
736,lekparken sturegatan
737,klätterställning
738,park
739,ljus
740,alla helgona
741,Per
742,Andreas
743,vinter
744,kulturhuset
745,Anna-Carin Rostedt
746,Pelle Nöjd
747,Höglandets begravningstjänst
748,Per Malmquist
749,Anders Davidsson
750,tågspår
751,yxan 1
752,Järn och maskin
753,fastighet
754,fastighetsförsäljning
755,järn och maskin
756,teckning
757,tratt
758,eva anderås
759,Frissjön
760,coronavirus
761,coronapandemi
762,hamburgare
763,restarurang
764,Lena Elf
765,kvadratisk
766,Fanny Olsson
767,häst
768,kollektivtrafik
769,buss
770,gång- och cykelbana
771,rörvik
772,krösatåg
773,nässjö
774,lokaltrafik
775,kommunalråd
776,Sävsjö
777,stefan gustafsson
778,logga
779,skylt
780,kommunvapen
781,äventyrsgolf
782,minigolf
783,golfklubba
784,golfboll
785,covid
786,corona
787,grävning
788,fiber
789,gräva
790,hund
791,katt
792,bh:ar
793,smitta
794,tvätta händerna
795,armvecket
796,stanna hemma
797,håll avstånd
798,hästar
799,norra station
800,gravid
801,världens barn
802,bössa
803,mule
804,ko
805,nötkreatur
806,elbil
807,elhybrid
808,ladda bil
809,laddningsstation
810,bil
811,miljövänliga veckan
812,naturskyddsföreningen
813,tändare
814,linda abrahamsson
815,äldre
816,omsorg
817,vård och omsorg
818,äldrevård
819,äldreboende
820,trygghetsboende
821,papperstuss
822,skrynklat papper
823,covid-19
824,test
825,coronatest
826,provrör
827,fiskmåsar
828,fåglar
829,pandemi
830,coronapandemin
831,hänglås
832,dator
833,lösenord
834,Carina Bardh
835,Krans
836,Cyklamen
837,Höst
838,Ute
839,Butiken
840,Kort
841,butiken
842,gräv
843,slip
844,Växjö kommun
845,Storgatan
846,Lekhus
847,Klätterställning
848,pasta
849,pommes
850,sallad
851,tallrik
852,tallrik
853,spagetti
854,flera rätter
855,collage
856,2020
857,november
858,frukostmöte
859,rabatt
860,sävsjö trädgård
861,rosbukett
862,pionbukett
863,Länsbuss
864,Växjö
865,Tåg
866,Regiontåg
867,Kronoberg
868,Vägg
869,Färg
870,Entre
871,Akutentre
872,Region Kronoberg
873,Sjukhus
874,Sjukhusentre
875,Byggarbetsplats
876,Lammhult
877,Vägskylt
878,90-skylt
879,Trafikskylt
880,Hastighetsskylt
881,Hastighet
882,Väg
883,Landsväg
884,Gamla skolan
885,Lammengatan
886,Smålands museum
887,Museum
888,Växjö museum
889,Kommunhuset oktober 2020
890,50%
891,rea
892,skyltfönster
893,fotbollsskor
894,julsaker
895,tavlor
896,källaren
897,barnkläder
898,barnböcker
899,barnskor
900,butiksbild
901,barnavdelning
902,kläder
903,damkläder
904,klädavdelning
905,blandat
906,prylar
907,saker
908,porslin
909,krukor
910,advent
911,julgran
912,julgranar
913,elljusstake
914,ljusslinga
915,ljuskrans
916,snögubbe
917,älg
918,tomte
919,adventsstjärna
920,jultomtar
921,jultomte
922,adventstjärna
923,stjärna
924,krubba
925,kaffebönor
926,nötter
927,mandlar
928,frön
929,kassan
930,bakad potatis
931,exteriör
932,storefactory
933,pläd
934,julklapp
935,kuddfodral
936,luciatåg
937,läppar
938,ögon
939,smink
940,efter
941,herr
942,före
943,makeup
944,klippning
945,herrklippning
946,Skolskjuts
947,Skolbuss
948,Barnvagn
949,Hund
950,Hundpromenad
951,Cykel
952,Cykelparkering
953,Universitetet
954,Linneuniversitetet
955,Cyklar
956,Sjön trummen
957,Bad
958,Badplats
959,Rekreation
960,Park
961,Parkbänk
962,Strövområde
963,Strand
964,Sandstrand
965,Sjön Trummen
966,Sittplats
967,Bänk
968,Skate
969,Skateing
970,Skejt
971,Ramp
972,Skatepark
973,Teleborg
974,Skatare
975,Skating
976,2+1
977,två + ett
978,två plus ett
979,väg
980,landsväg
981,riksväg
982,riksväg 30
983,kronobergs län
984,trafik
985,körfält
986,två körfält
987,motorled
988,väg 30
989,2 + 1
990,flera filer
991,mitträcke
992,vägren
993,biogas
994,anläggning
995,cykel
996,däck
997,kvinnlig polis
998,kontroll
999,fartkontroll
1000,blåskontroll
1001,rattfylleri
1002,drograttfylla
1003,fylla
1004,blåsa
1005,alkoholmätare
1006,centern
1007,centerpartiet
1008,Ljungblad
1009,Ljungbladh
1010,Polis vid bil
1011,områdespoliser
1012,områdespolis
1013,växjö
1014,domkyrka
1015,iogt-nto
1016,bryggor
1017,hillen
1018,hillenplatsen
1019,grillplats
