ad_id;tag_id
92888;547
92888;548
92888;549
93404;354
93404;292
93404;570
93404;571
93404;569
93404;213
93404;305
93404;306
92149;533
93456;480
93456;309
93456;760
93456;761
93456;1035
87366;302
87366;303
93470;302
93470;303
93470;111
93470;112
93470;113
93470;573
93471;302
93471;303
93471;111
93471;112
93471;113
93471;573
93535;574
93535;575
93533;572
93533;390
93533;572
93533;390
93552;576
93552;577
93202;565
93202;566
93651;578
93651;579
93651;580
93651;581
93651;579
93651;578
93685;582
93685;94
93685;583
93685;583
93817;658
93817;659
93838;485
93838;537
93838;584
93153;212
93153;560
93851;212
93851;560
93865;585
93925;405
93925;403
93925;404
93961;586
93961;475
93961;533
94058;213
94058;305
94058;306
94086;587
94086;587
94086;82
94086;587
94086;587
94103;588
94103;589
94103;590
94103;591
94103;592
94103;588
94103;590
94103;592
94103;588
94103;592
94103;590
94103;589
94103;588
94103;592
94103;589
94171;389
94171;390
94171;391
94276;593
94276;594
94276;285
94300;595
94300;595
94300;595
94300;595
94300;597
94300;595
94300;595
94300;596
94300;595
94300;595
94353;598
94391;138
94391;138
94391;138
94504;599
94504;600
94537;658
94537;659
94560;601
94560;602
94602;599
94602;600
94646;89
94646;90
94646;91
94646;92
94646;56
94646;93
94722;533
94722;213
94722;305
94722;306
94755;606
94755;604
94755;603
94755;604
94755;605
94755;604
94755;607
94755;604
94755;605
94755;604
94755;607
94755;604
94755;607
94755;604
94783;608
94783;609
94783;610
94800;617
94800;618
94859;619
94906;620
94906;545
94906;620
94906;545
94906;620
94906;545
94925;624
94925;625
94925;193
94924;623
94971;626
94971;626
94971;626
94971;627
95078;358
95078;628
95078;629
95078;631
95078;629
95078;628
95078;630
95078;629
95078;628
95078;629
95078;628
95079;632
95079;322
95079;633
95079;634
95081;635
95081;636
94911;480
94911;309
94911;760
94911;761
94911;1035
98462;480
98462;309
98462;760
98462;761
98462;1035
98474;642
98474;643
98624;637
98624;638
98624;639
98694;644
98694;282
98694;645
98903;648
98903;648
98903;641
98903;648
98903;648
98903;648
99008;649
99008;650
99008;651
99066;652
99066;347
99066;653
99066;655
99127;654
99127;654
99382;641
99527;480
99527;309
99527;760
99527;761
99527;1035
99623;213
99623;305
99623;306
100023;102
100023;103
100023;104
100023;105
100023;96
100023;39
100023;106
100124;667
100124;28
100124;668
100247;213
100247;305
100247;306
100525;420
100533;679
100533;680
100533;681
100533;682
100533;683
100533;684
100533;677
100533;678
100533;670
100533;676
100533;669
100533;670
100533;671
100533;672
100533;673
100533;674
100533;675
100533;676
100533;670
100333;491
100333;111
100333;491
100333;111
100333;186
101159;685
101159;686
101159;666
101159;687
100649;704
100649;706
100649;713
100649;330
100649;716
101158;688
101446;770
101446;106
101446;771
101712;751
101712;755
101712;753
101712;754
101712;96
101712;751
101712;752
101712;753
101712;754
101712;205
101712;619
102060;759
102102;649
102102;650
102102;651
102150;256
101535;20
102591;1153
101533;749
102862;772
102862;773
102862;774
102862;768
102862;213
102862;305
102862;306
102966;623
103724;658
103724;659
103657;811
103657;812
103893;814
104018;798
104009;800
104124;658
104124;659
104363;5
103633;624
103633;625
103633;193
104439;658
104439;659
104450;658
104450;659
104460;785
104460;786
104460;829
104460;760
104386;654
104412;6
104412;7
105284;823
105284;824
105284;825
105284;826
105324;29
105324;725
105324;726
105324;728
105324;730
105324;732
105324;734
105324;729
105324;727
105228;771
105228;771
105228;583
101852;744
101852;666
101852;745
101852;746
101852;185
105421;186
105421;254
105421;185
105457;785
105457;786
105457;829
105457;760
105309;798
105635;1153
105623;704
105623;706
105623;717
105623;710
105623;711
105623;714
105623;718
105917;785
105917;786
105917;829
105917;760
105918;823
105918;824
105918;825
105918;826
105999;623
106196;785
106196;786
106196;829
106196;760
106250;823
106250;824
106250;825
106250;826
106648;785
106648;786
106648;829
106648;760
106695;5
106659;569
106770;823
106770;824
106770;825
106770;826
106888;785
106888;786
106888;829
106888;760
106130;685
106130;686
106130;666
106130;687
107021;785
107021;786
107021;829
107021;760
107159;213
107159;305
107159;306
105903;658
105903;659
107378;685
107378;686
107378;666
107378;687
107378;421
107378;422
107530;785
107530;786
107530;829
107530;760
107642;823
107642;824
107642;825
107642;826
108105;1017
108105;1018
108105;771
108105;1019
108180;823
108180;824
108180;825
108180;826
108238;480
108238;309
108238;760
108238;761
108238;1035
108532;565
108532;566
108744;102
108744;103
108744;104
108744;105
108744;96
108744;39
108744;106
108788;785
108788;786
108788;829
108788;760
108859;6
108859;7
108974;1153
109173;567
109173;568
109647;771
109689;256
109714;480
109714;309
109714;760
109714;761
109714;1035
109817;5
110295;292
110295;293
110295;294
110295;295
110225;823
110225;824
110225;825
110225;826
110349;658
110349;659
110416;213
110416;305
110416;306
110583;785
110583;786
110583;829
110583;760
110668;480
110668;309
110668;760
110668;761
110668;1035
110677;658
110677;659
110943;785
110943;786
110943;829
110943;760
110961;358
110961;628
110961;629
111029;213
111029;305
111029;306
111067;785
111067;786
111067;829
111067;760
111069;203
111069;205
111160;785
111160;786
111160;829
111160;760
111161;256
111194;658
111194;659
